Instance,SepalLength,SepalWidth,PetalLength,PetalWidth,Cluster
53,5.5,2.3,4,1.3,cluster1
54,6.5,2.8,4.6,1.5,cluster4
55,5.7,2.8,4.5,1.3,cluster5
56,6.3,3.3,4.7,1.6,cluster4
57,4.9,2.4,3.3,1,cluster1
58,6.6,2.9,4.6,1.3,cluster4
59,5.2,2.7,3.9,1.4,cluster1
60,5,2,3.5,1,cluster1
61,5.9,3,4.2,1.5,cluster5
62,6,2.2,4,1,cluster1
63,6.1,2.9,4.7,1.4,cluster5
64,5.6,2.9,3.6,1.3,cluster5
65,6.7,3.1,4.4,1.4,cluster4
66,5.6,3,4.5,1.5,cluster5
67,5.8,2.7,4.1,1,cluster1
68,6.2,2.2,4.5,1.5,cluster0
69,5.6,2.5,3.9,1.1,cluster1
70,5.9,3.2,4.8,1.8,cluster5
71,6.1,2.8,4,1.3,cluster5
72,6.3,2.5,4.9,1.5,cluster0
73,6.1,2.8,4.7,1.2,cluster5
74,6.4,2.9,4.3,1.3,cluster5
75,6.6,3,4.4,1.4,cluster4
76,6.8,2.8,4.8,1.4,cluster4
77,6.7,3,5,1.7,cluster4
78,6,2.9,4.5,1.5,cluster5
79,5.7,2.6,3.5,1,cluster1
80,5.5,2.4,3.8,1.1,cluster1
81,5.5,2.4,3.7,1,cluster1
82,5.8,2.7,3.9,1.2,cluster1
83,6,2.7,5.1,1.6,cluster0
84,5.4,3,4.5,1.5,cluster5
85,6,3.4,4.5,1.6,cluster5
86,6.7,3.1,4.7,1.5,cluster4
87,6.3,2.3,4.4,1.3,cluster1
88,5.6,3,4.1,1.3,cluster5
89,5.5,2.5,4,1.3,cluster1
90,5.5,2.6,4.4,1.2,cluster1
91,6.1,3,4.6,1.4,cluster5
92,5.8,2.6,4,1.2,cluster1
93,5,2.3,3.3,1,cluster1
94,5.6,2.7,4.2,1.3,cluster1
95,5.7,3,4.2,1.2,cluster5
96,5.7,2.9,4.2,1.3,cluster5
97,6.2,2.9,4.3,1.3,cluster5
98,5.1,2.5,3,1.1,cluster1
99,5.7,2.8,4.1,1.3,cluster5
100,6.3,3.3,6,2.5,cluster2
101,5.8,2.7,5.1,1.9,cluster0
102,7.1,3,5.9,2.1,cluster2
103,6.3,2.9,5.6,1.8,cluster0
104,6.5,3,5.8,2.2,cluster2
105,7.6,3,6.6,2.1,cluster2
106,4.9,2.5,4.5,1.7,cluster1
107,7.3,2.9,6.3,1.8,cluster2
108,6.7,2.5,5.8,1.8,cluster0
109,7.2,3.6,6.1,2.5,cluster2
110,6.5,3.2,5.1,2,cluster4
111,6.4,2.7,5.3,1.9,cluster0
112,6.8,3,5.5,2.1,cluster2
113,5.7,2.5,5,2,cluster0
114,5.8,2.8,5.1,2.4,cluster0
115,6.4,3.2,5.3,2.3,cluster2
116,6.5,3,5.5,1.8,cluster4
117,7.7,3.8,6.7,2.2,cluster2
118,7.7,2.6,6.9,2.3,cluster2
119,6,2.2,5,1.5,cluster0
120,6.9,3.2,5.7,2.3,cluster2
121,5.6,2.8,4.9,2,cluster0
122,7.7,2.8,6.7,2,cluster2
123,6.3,2.7,4.9,1.8,cluster0
124,6.7,3.3,5.7,2.1,cluster2
125,7.2,3.2,6,1.8,cluster2
126,6.2,2.8,4.8,1.8,cluster0
127,6.1,3,4.9,1.8,cluster0
128,6.4,2.8,5.6,2.1,cluster0
129,7.2,3,5.8,1.6,cluster4
130,7.4,2.8,6.1,1.9,cluster2
131,7.9,3.8,6.4,2,cluster2
132,6.4,2.8,5.6,2.2,cluster0
133,6.3,2.8,5.1,1.5,cluster4
134,6.1,2.6,5.6,1.4,cluster0
135,7.7,3,6.1,2.3,cluster2
136,6.3,3.4,5.6,2.4,cluster2
137,6.4,3.1,5.5,1.8,cluster4
138,6,3,4.8,1.8,cluster0
139,6.9,3.1,5.4,2.1,cluster2
140,6.7,3.1,5.6,2.4,cluster2
141,6.9,3.1,5.1,2.3,cluster2
142,5.8,2.7,5.1,1.9,cluster0
143,6.8,3.2,5.9,2.3,cluster2
144,6.7,3.3,5.7,2.5,cluster2
145,6.7,3,5.2,2.3,cluster2
146,6.3,2.5,5,1.9,cluster0
147,6.5,3,5.2,2,cluster0
148,6.2,3.4,5.4,2.3,cluster2
149,5.9,3,5.1,1.8,cluster0
